Time [s];Position [mm];Force [N]
0,884;43,275;133,300781
0,885;43,334;133,300781
0,886;43,394;133,789062
0,887;43,455;133,300781
0,888;43,515;133,789062
0,889;43,575;133,789062
0,89;43,589;133,789062
0,891;43,633;134,277344
0,892;43,693;133,789062
0,893;43,753;134,277344
0,894;43,814;134,765625
0,895;43,874;134,277344
0,896;43,925;134,765625
0,897;43,935;134,765625
0,898;43,997;134,277344
0,899;44,058;134,277344
0,9;44,119;134,765625
0,901;44,178;134,277344
0,902;44,239;134,765625
0,903;44,239;134,765625
0,904;44,296;135,253906
0,905;44,356;135,253906
0,906;44,416;134,765625
0,907;44,477;135,253906
0,908;44,536;135,742188
0,909;44,536;135,253906
0,91;44,596;134,765625
0,911;44,657;135,253906
0,912;44,716;135,253906
0,913;44,776;135,253906
0,914;44,835;135,253906
0,915;44,835;136,230469
0,916;44,895;135,253906
0,917;44,955;136,230469
0,918;45,017;136,230469
0,919;45,076;136,230469
0,92;45,076;136,230469
0,921;45,137;136,230469
0,922;45,197;136,71875
0,923;45,258;136,230469
0,924;45,319;136,230469
0,925;45,378;136,230469
0,926;45,378;136,71875
0,927;45,439;136,71875
0,928;45,498;136,71875
0,929;45,558;136,71875
0,93;45,618;136,71875
0,931;45,679;136,71875
0,932;45,719;137,207031
0,933;45,74;138,183594
0,934;45,801;137,207031
0,935;45,861;136,71875
0,936;45,921;137,207031
0,937;45,981;137,695312
0,938;46,041;137,207031
0,939;46,041;137,207031
0,94;46,103;137,695312
0,941;46,164;137,207031
0,942;46,224;137,695312
0,943;46,285;137,695312
0,944;46,347;137,695312
0,945;46,347;137,695312
0,946;46,408;137,695312
0,947;46,408;138,183594
0,948;46,53;138,183594
0,949;46,591;138,183594
0,95;46,591;137,695312
0,951;46,652;138,183594
0,952;46,713;138,671875
0,953;46,776;138,183594
0,954;46,836;138,671875
0,955;46,898;138,671875
0,956;46,898;139,648438
0,957;46,959;138,671875
0,958;47,021;138,671875
0,959;47,08;138,671875
0,96;47,139;138,671875
0,961;47,2;138,671875
0,962;47,2;139,160156
0,963;47,26;139,160156
0,964;47,322;139,160156
0,965;47,384;139,160156
0,966;47,445;139,160156
0,967;47,506;139,160156
0,968;47,506;139,648438
0,969;47,567;139,160156
0,97;47,627;139,160156
0,971;47,688;139,160156
0,972;47,747;139,648438
0,973;47,807;139,648438
0,974;47,807;139,648438
0,975;47,868;139,648438
0,976;47,927;139,648438
0,977;47,99;139,648438
0,978;48,051;139,648438
0,979;48,051;139,648438
0,98;48,112;139,648438
0,981;48,171;140,136719
0,982;48,234;140,625
0,983;48,296;140,136719
0,984;48,355;140,625
0,985;48,355;140,136719
0,986;48,416;140,136719
0,987;48,476;140,136719
0,988;48,537;140,136719
0,989;48,597;140,136719
0,99;48,597;140,136719
0,991;48,658;140,136719
0,992;48,718;140,136719
0,993;48,778;140,136719
0,994;48,839;140,136719
0,995;48,899;140,625
0,996;48,96;140,136719
0,997;48,96;140,136719
0,998;49,02;140,136719
0,999;49,076;140,136719
1;49,124;143,554688
1,001;49,16;140,136719
1,002;49,184;140,625
1,003;49,184;140,136719
1,004;49,196;140,136719
1,005;49,201;140,625
1,006;49,206;140,136719
1,007;49,213;140,136719
1,008;49,213;140,136719
1,009;49,224;141,113281
1,01;49,236;140,136719
1,011;49,244;141,113281
1,012;49,247;140,625
1,013;49,244;140,625
1,014;49,234;140,136719
1,015;49,234;140,136719
1,016;49,217;140,136719
1,017;49,195;140,136719
1,018;49,175;140,625
1,019;49,158;140,136719
1,02;49,141;140,136719
1,021;49,122;140,136719
1,022;49,122;140,136719
1,023;49,097;140,625
1,024;49,07;140,136719
1,025;49,039;140,136719
1,026;49,004;140,136719
1,027;49,004;140,136719
1,028;48,969;140,625
1,029;48,934;140,136719
1,03;48,902;140,136719
1,031;48,871;140,136719
1,032;48,839;140,136719
1,033;48,802;140,136719
1,034;48,802;140,136719
1,035;48,761;139,648438
1,036;48,719;140,136719
1,037;48,672;139,648438
1,038;48,621;140,136719
1,039;48,574;140,136719
1,04;48,574;140,136719
1,041;48,526;139,648438
1,042;48,478;139,648438
1,043;48,432;140,136719
1,044;48,386;139,648438
1,045;48,386;139,648438
1,046;48,338;139,648438
1,047;48,287;139,648438
1,048;48,233;139,648438
1,049;48,178;139,648438
1,05;48,123;139,648438
1,051;48,123;139,648438
1,052;48,067;139,648438
1,053;48,015;139,648438
1,054;47,963;139,648438
1,055;47,913;139,648438
1,056;47,862;139,160156
1,057;47,808;140,136719
1,058;47,808;139,160156
1,059;47,756;139,160156
1,06;47,7;139,160156
1,061;47,643;139,160156
1,062;47,585;139,160156
1,063;47,585;139,160156
1,064;47,53;139,160156
1,065;47,478;138,671875
1,066;47,424;139,160156
1,067;47,371;138,671875
1,068;47,316;138,671875
1,069;47,316;138,671875
1,07;47,259;138,671875
1,071;47,202;138,671875
1,072;47,145;139,160156
1,073;47,085;138,671875
1,074;47,026;138,671875
1,075;46,972;138,671875
